author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
MR Group;developer;https://www.cian.ru/sale/flat/300288094/;Москва;sale;flat;5;43;3;84.79;37441144;2025;-1;Монолитный;-1;Предчистовая, чистовая;35,7 м²;-1;+74951374843;Савеловский;2-я Хуторская ;34;Дмитровская;SYMPHONY 34
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679858/;Москва;sale;flat;11;20;3;87.02;32910964;2024;-1;-1;-1;-1;39,1 м²;34,3 м²;+79652908569;Даниловский;;;Тульская;Форст ЖК
UNIQ Development;developer;https://www.cian.ru/sale/flat/307668354/;Москва;sale;flat;11;25;3;109.2;89544000;2027;-1;-1;-1;Чистовая;95 м²;-1;+74951464743;Фили-Давыдково;Малая Филевская ;46;Кунцевская;Springs
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/307770341/;Москва;sale;flat;9;18;4;176.6;98000000;2006;-1;-1;-1;-1;106 м²;19,3 м²;+79169574456;Хорошевский; Гризодубовой;4К4;ЦСКА;Гранд-парк
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/308080997/;Москва;sale;flat;2;6;3;118.66;195551680;2024;-1;Монолитно-кирпичный;-1;Без отделки;48 м²;32,6 м²;+74951387122;Замоскворечье;Космодамианская набережная;4/22С8;Новокузнецкая;Клубный дом Космо 4/22
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/293126875/;Москва;sale;flat;21;23;4;244.1;78000000;2007;-1;-1;-1;-1;-1;-1;+79197672046;Хорошевский; Гризодубовой;2;ЦСКА;Гранд-парк
ANT Development;developer;https://www.cian.ru/sale/flat/303519403/;Москва;sale;flat;3;10;3;105.8;115430498;2024;-1;Монолитный;-1;Чистовая;-1;-1;+74951346248;Дорогомилово;;3к8;Поклонная;Виктори Парк Резиденсез ЖК
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/288460497/;Москва;sale;flat;6;6;4;324.5;250000000;-1;-1;-1;-1;-1;-1;-1;+79197672046;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
Среда;developer;https://www.cian.ru/sale/flat/304753723/;Москва;sale;flat;2;44;3;83.71;28859441;2027;-1;Монолитный;-1;Без отделки, предчистовая;38,4 м²;-1;+74951387079;Кунцево;48-й кв-л;;Кунцевская;Кутузовский Квартал ЖК
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/305736633/;Москва;sale;flat;35;41;3;97.4;95000000;-1;-1;-1;-1;-1;69 м²;7,3 м²;+79646331510;Хорошевский;Ленинградский проспект;37/3;Аэропорт;Прайм Парк
Tekta Group;developer;https://www.cian.ru/sale/flat/306178079/;Москва;sale;flat;14;34;3;59.3;28339470;2025;-1;Монолитный;-1;Без отделки, предчистовая;37,9 м²;-1;+74951387095;Обручевский;;;Калужская;Эвер ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308907053/;Москва;sale;flat;7;14;3;206.0;289775400;-1;-1;-1;-1;-1;-1;-1;+79653590192;Арбат;Малый Новопесковский переулок;8;Смоленская;Дом на Смоленской набережной
MR Group;developer;https://www.cian.ru/sale/flat/306614056/;Москва;sale;flat;9;28;3;87.7;32115301;2027;-1;Монолитно-кирпичный, монолитный, кирпичный;-1;Без отделки, предчистовая;57,7 м²;-1;+74997058993;Даниловский;;;Павелецкая;Павелецкая Сити ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/262233648/;Москва;sale;flat;5;6;4;157.0;250000000;2018;-1;-1;-1;-1;-1;-1;+79646328563;Замоскворечье;Садовническая набережная;7;Новокузнецкая;BALCHUG VIEWPOINT
SUNRISE Estate;real_estate_agent;https://www.cian.ru/sale/flat/308563003/;Москва;sale;flat;9;19;4;140.7;67990000;2018;-1;-1;-1;-1;115,7 м²;20 м²;+79853573515;Хорошево-Мневники;Шелепихинская набережная;34к1зд4;Шелепиха;Сердце Столицы
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/306462179/;Москва;sale;flat;24;24;4;196.0;65000000;2009;-1;-1;-1;-1;-1;20 м²;+79651509137;Можайский;Можайское шоссе;22к2;Рабочий посёлок;
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/306447297/;Москва;sale;flat;13;21;3;130.0;155000000;-1;-1;-1;-1;-1;-1;20 м²;+79154194704;Пресненский; Костикова;4к4;Улица 1905 года;Lucky
